Account name,Site name,Transferable,Sandbox,Environment name,WP Site URL,Environment type (PRD/STG/DEV),Domain,PHP version,WP version,DB storage (GB),File storage (GB),Total storage (GB),Bandwidth 30 day avg (GB),Bandwidth 30 day sum (GB),Total Visits 30 day avg,Total Visits 30 day sum,Site Tags
everneu,AnderCon,false,false,andercon24,http://andercon24.wpenginepowered.com,PRD,andercon24.wpenginepowered.com,8.2,6.8.2,0.27656555,0.53820801,0.81477356,0.00134658,0.04174399,62,1922,
everneu,apex411combine,false,false,apex411combine,http://www.apex411.com,PRD,www.apex411.com,8.2,6.8.2,0.18734360,0.87746429,1.06480789,0.06771235,2.09908287,123,3836,
everneu,Aqualution,false,false,aqualutiondev,http://aqualutiondev.wpenginepowered.com,DEV,aqualutiondev.wpenginepowered.com,8.2,6.8.2,0.29688644,0.64049530,0.93738174,0.00221248,0.06858677,7,217,
everneu,Aqualution,false,false,aqualution,http://www.aqualution.co.uk,PRD,www.aqualution.co.uk,8.2,6.8.2,0.33043289,1.98880768,2.31924057,0.24475458,7.58739206,327,10139,
everneu,Aqualution Legacy,false,false,aqualutionleg,http://aqualutionleg.wpenginepowered.com,STG,aqualutionleg.wpenginepowered.com,8.2,6.8.2,0.23773575,1.54765320,1.78538895,0.00069520,0.02155126,6,190,
everneu,Asphalt Systems,false,false,asphaltsystdev,http://asphaltsystdev.wpenginepowered.com,DEV,asphaltsystdev.wpenginepowered.com,8.2,6.8.2,0.18170166,0.48926926,0.67097092,0.00120641,0.03739880,0,9,
everneu,Asphalt Systems,false,false,asphaltsystems,http://asphaltsystemsinc.com,PRD,asphaltsystemsinc.com,8.2,6.8.2,0.23164368,1.36969376,1.60133743,0.16231360,5.03172152,130,4039,
everneu,Asphalt Systems,false,false,asphaltsyststg,http://asphaltsyststg.wpenginepowered.com,STG,asphaltsyststg.wpenginepowered.com,8.2,6.8.2,0.18223572,0.48402786,0.66626358,0.00059616,0.01848087,0,5,
everneu,brandpalette,false,false,brandpalettdev,http://brandpalettdev.wpenginepowered.com,DEV,brandpalettdev.wpenginepowered.com,8.2,6.8.1,0.24396896,0.41970825,0.66367722,0.00163195,0.05059047,0,8,
everneu,brandpalette,false,false,brandpalette,http://brandpalette.com,PRD,brandpalette.com,8.2,6.8.2,0.30633163,1.16638947,1.47272110,0.20917945,6.48456302,238,7384,
everneu,brandpalette,false,false,brandpalettstg,http://brandpalettstg.wpenginepowered.com,STG,brandpalettstg.wpenginepowered.com,8.2,6.8.2,0.29871750,0.47041321,0.76913071,0.00190286,0.05898881,4,150,
everneu,brandpalette2025,false,false,brandpalet1dev,http://brandpalet1dev.wpenginepowered.com,DEV,brandpalet1dev.wpenginepowered.com,8.2,6.8.2,0.25516510,0.41960526,0.67477036,0.00352536,0.10928625,0,9,
everneu,brandpalette2025,false,false,brandpalette20,http://brandpalette20.wpenginepowered.com,PRD,brandpalette20.wpenginepowered.com,8.2,6.8.2,0.17664337,0.33158493,0.50822830,0.00003001,0.00093038,0,5,
everneu,brandpalette2025,false,false,brandpalet1stg,http://brandpalet1stg.wpenginepowered.com,STG,brandpalet1stg.wpenginepowered.com,8.2,6.8.2,0.23288727,0.40372086,0.63660812,0.00156612,0.04854982,0,9,
everneu,BrandPal-pages,false,false,brandppalpages,http://brandppalpages.wpenginepowered.com,PRD,brandppalpages.wpenginepowered.com,8.2,6.8.2,0.28700638,0.48287964,0.76988602,0.00006843,0.00212121,0,5,
everneu,clackcorp,false,false,clackcorpdev,http://clackcorpdev.wpenginepowered.com,DEV,clackcorpdev.wpenginepowered.com,8.2,6.8.2,0.17178345,1.55284500,1.72462845,0.00234843,0.07280126,0,10,
everneu,clackcorp,false,false,clackcorp,http://www.clackcorp.com,PRD,www.clackcorp.com,8.2,6.8.2,0.20203018,1.62277222,1.82480240,3.82027637,118.42856734,1178,36525,
everneu,clackcorp,false,false,clackcorpstg,http://clackcorpstg.wpenginepowered.com,STG,clackcorpstg.wpenginepowered.com,8.2,6.8.2,0.10593796,0.54935074,0.65528870,0.00177071,0.05489194,0,8,
everneu,clackcorplegacy,false,false,clackcorplegac,http://clackcorplegac.wpenginepowered.com,PRD,clackcorplegac.wpenginepowered.com,8.2,6.8.2,0.04900742,0.53454590,0.58355331,0.01739732,0.53931696,0,24,
everneu,cntGeotechnical,false,false,cntgeotechdev,http://cntgeotechdev.wpenginepowered.com,DEV,cntgeotechdev.wpenginepowered.com,8.2,6.8.2,0.25253677,0.49683380,0.74937057,0.00025334,0.00785347,0,15,
everneu,cntGeotechnical,false,false,cntgeotech,http://cntgeotech.wpenginepowered.com,PRD,cntgeotech.wpenginepowered.com,8.2,6.8.2,0.24965668,0.50642776,0.75608444,0.00506216,0.15692709,0,15,
